<occupation-6-end>,1918-09-17
<residence-4>,Amsterdam
<residence-2>,Nederlands-Indië
<death-place>,Amsterdam
<occupation-5>,hoofdadministrateur Deli-Maatschappij
<marriage-place>,Singapore
<occupation-7-end>,1923-11-26
<residence-2-end>,1909
<occupation-3>,assistent Deli-Maatschappij
<occupation-2-end>,1889
<occupation-1>,medewerker machinefabriek "Feijenoord" te Rotterdam
<residence-2-begin>,1895
<occupation-7>,directeur De Nederlandsche Bank
<occupation-7-begin>,1917
<occupation-3-begin>,1889
<name>,j. van vollenhoven|joost van vollenhoven
<gender>,1
<birth-place>,Rotterdam
<marriage-time>,1904-11-18
<residence-1-end>,1895
<death-time>,1923-11-26
<birth-time>,1866-12-13
<occupation-5-begin>,1901
<occupation-4>,lid gemeenteraad van Rotterdam
<residence-3>,'s-Gravenhage, Badhuisweg 141
<occupation-4-begin>,1889-10-24
<residence-1>,Rotterdam,
<occupation-2>,firmant houtkoperij firma "J. en A. van Vollenhoven" te Rotterdam,
<occupation-5-end>,1909
<occupation-6>,lid Tweede Kamer der Staten-Generaal voor het kiesdistrict Rotterdam IV
<occupation-4-end>,1895-02-28
<education-1>,driejarige h.b.s.
<occupation-6-begin>,1913-09-16
