<faith-1>,Nederlands Hervormd
<death-place>,Doorn
<occupation-5>,secretaris-generaal ministerie van Volkshuisvesting en Bouwnijverheid (na 1965 Volkshuisvesting en Ruimtelijke Ordening)
<occupation-2-begin>,1942-12
<occupation-3>,secretaris Wederopbouw Boerderijen
<occupation-2-end>,1945-04
<occupation-1>,ambtenaar Hoogheemraadschap Noordhollands Noorderkwartier te Alkmaar
<occupation-1-end>,1942-12
<education-4-end>,1936
<occupation-3-begin>,1945-04
<name>,g. van der flier|gerrit van der flier
<education-2-end>,1930
<education-2>,gymnasium-a, "Christelijk Lyceum" te Zeist,
<gender>,1
<birth-place>,Pesse
<education-4>,geschiedenis, Rijksuniversiteit Utrecht,
<death-time>,1992-01-05
<birth-time>,1911-05-20
<occupation-5-begin>,1959-10-01
<occupation-4>,chef algemene zaken, Centrale Directie Wederopbouw Volkshuisvesting, ministerie van Wederopbouw en Volkshuisvesting
<education-3-end>,1936
<occupation-1-begin>,1938-10-01
<occupation-4-begin>,1948-01
<occupation-2>,adjunct-secretaris directie Wieringemeer (Noord-Oostpolderwerken)
<occupation-5-end>,1976-06-01
<occupation-3-end>,1948-01
<education-1>,gymnasium-a, "Christelijk Lyceum" te Harderwijk
<education-3>,Nederlands recht, Rijksuniversiteit Utrecht,
<occupation-4-end>,1959-10-01
